Time	B2	C2	D2	B3	C3	D3	B5	C5	D5	B6	C6	D6	B8	C8	D8	B9	C9	D9	E2	F2	G2	E3	F3	G3	E4	F4	G4	E6	F6	G6	E7	F7	G7	E8
0	0.0818	0.0808	0.0812	0.0803	0.0807	0.0808	0.0799	0.0802	0.0787	0.0799	0.0784	0.0793	0.0802	0.0792	0.0789	0.0802	0.081	0.0821	0.0807	0.0821	0.0808	0.0828	0.0816	0.0823	0.0833	0.0827	0.0833	0.0799	0.0797	0.082	0.0776	0.079	0.0845	0.0794
0.25	0.0816	0.0806	0.0806	0.081	0.0803	0.0808	0.0796	0.0802	0.0786	0.0797	0.0787	0.0788	0.0798	0.0791	0.0786	0.0793	0.0806	0.0817	0.0806	0.0818	0.0809	0.0829	0.0818	0.0818	0.0832	0.0827	0.0828	0.0796	0.0794	0.0815	0.0773	0.0786	0.0796	0.0794
0.5	0.0814	0.0806	0.0809	0.0803	0.0803	0.0806	0.0795	0.0801	0.079	0.0797	0.0787	0.0792	0.0797	0.0788	0.0787	0.0797	0.0805	0.0822	0.0804	0.0818	0.0809	0.0831	0.082	0.0821	0.0832	0.0827	0.0826	0.0799	0.0796	0.0817	0.0774	0.0787	0.0794	0.0793
0.75	0.0818	0.0805	0.0812	0.0809	0.0807	0.0812	0.0799	0.0802	0.0793	0.0808	0.0787	0.0796	0.08	0.079	0.0792	0.0799	0.0807	0.0821	0.0806	0.0816	0.081	0.083	0.0823	0.0823	0.0833	0.0828	0.0829	0.08	0.0796	0.0821	0.0775	0.0791	0.0798	0.0798
1	0.0817	0.0806	0.0808	0.0811	0.0806	0.0808	0.08	0.0806	0.0791	0.0802	0.0789	0.0793	0.08	0.0793	0.079	0.0798	0.0808	0.0819	0.0809	0.0818	0.081	0.083	0.0818	0.0823	0.0832	0.0827	0.083	0.08	0.0794	0.0817	0.0772	0.0786	0.0797	0.0794
1.25	0.0819	0.0806	0.0811	0.081	0.0809	0.0815	0.0803	0.0807	0.0793	0.0802	0.0791	0.0794	0.0801	0.0794	0.0791	0.0801	0.081	0.0825	0.0808	0.082	0.0813	0.0834	0.0824	0.0823	0.0836	0.0829	0.083	0.0801	0.0797	0.0821	0.0777	0.0794	0.0799	0.0798
1.5	0.0815	0.0807	0.0809	0.081	0.081	0.0813	0.0805	0.0807	0.0797	0.0805	0.0792	0.0797	0.0801	0.0798	0.0793	0.0802	0.0811	0.0828	0.0813	0.082	0.0814	0.0833	0.0824	0.0824	0.0837	0.083	0.0834	0.0797	0.0798	0.0819	0.0775	0.0792	0.0799	0.0799
1.75	0.0819	0.0805	0.081	0.081	0.0811	0.0815	0.0805	0.0807	0.0794	0.0807	0.0796	0.0798	0.0805	0.0801	0.0792	0.0803	0.0812	0.0833	0.0812	0.0823	0.0815	0.0832	0.0825	0.0823	0.0833	0.083	0.0833	0.08	0.0797	0.0817	0.0776	0.0792	0.0798	0.0796
2	0.0819	0.0807	0.081	0.0816	0.0816	0.0816	0.0808	0.0813	0.0803	0.0814	0.0802	0.0805	0.0812	0.0805	0.0799	0.081	0.082	0.084	0.0817	0.0824	0.0819	0.0836	0.0826	0.0828	0.0838	0.0832	0.0835	0.0803	0.0799	0.0821	0.0781	0.0798	0.0803	0.0801
2.25	0.0819	0.0809	0.0811	0.0816	0.0817	0.0817	0.0813	0.0819	0.0802	0.0822	0.0805	0.0806	0.0813	0.0808	0.0801	0.0813	0.0825	0.0848	0.0818	0.0829	0.082	0.0837	0.0825	0.0826	0.0835	0.0832	0.0836	0.0804	0.08	0.0819	0.078	0.0797	0.0806	0.0799
